nroatc,codigoatc,codigoatc_L,descatc,label
1092,C02C,C02C,C02C - AGENTES ANTIADRENÉRGICOS DE ACCIÓN PERIFÉRICA,C02C - AGENTES ANTIADRENÉRGICOS DE ACCIÓN PERIFÉRICA
1093,C02CA,C02CA,C02CA - Antagonistas de receptores alfa-adrenérgicos,C02CA - Antagonistas de receptores alfa-adrenérgicos
1094,C02CA01,C02CA01,C02CA01 - Prazosina,C02CA01 - Prazosina
1095,C02CA02,C02CA02,C02CA02 - Indoramina,C02CA02 - Indoramina
1096,C02CA03,C02CA03,C02CA03 - Trimazosina,C02CA03 - Trimazosina
1097,C02CA04,C02CA04,C02CA04 - Doxazosina,C02CA04 - Doxazosina
1098,C02CA06,C02CA06,C02CA06 - Urapidil,C02CA06 - Urapidil
1099,C02CC,C02CC,C02CC - Derivados de la guanidina,C02CC - Derivados de la guanidina
1100,C02CC01,C02CC01,C02CC01 - Betanidina,C02CC01 - Betanidina
1101,C02CC02,C02CC02,C02CC02 - Guanetidina,C02CC02 - Guanetidina
1102,C02CC03,C02CC03,C02CC03 - Guanoxano,C02CC03 - Guanoxano
1103,C02CC04,C02CC04,C02CC04 - Debrisoquina,C02CC04 - Debrisoquina
1104,C02CC05,C02CC05,C02CC05 - Guanocloro,C02CC05 - Guanocloro
1105,C02CC06,C02CC06,C02CC06 - Guanazodina,C02CC06 - Guanazodina
1106,C02CC07,C02CC07,C02CC07 - Guanoxabenzo,C02CC07 - Guanoxabenzo
1107,C02D,C02D,C02D - AGENTES QUE ACTÚAN SOBRE EL MÚSCULO LISO ARTERIOLAR,C02D - AGENTES QUE ACTÚAN SOBRE EL MÚSCULO LISO ARTERIOLAR
1108,C02DA,C02DA,C02DA - Derivados tiazídicos,C02DA - Derivados tiazídicos
1109,C02DA01,C02DA01,C02DA01 - Diazóxido,C02DA01 - Diazóxido
1110,C02DB,C02DB,C02DB - Derivados de la hidrazinoftalazina,C02DB - Derivados de la hidrazinoftalazina
1111,C02DB01,C02DB01,C02DB01 - Dihidralazina,C02DB01 - Dihidralazina
1112,C02DB02,C02DB02,C02DB02 - Hidralazina,C02DB02 - Hidralazina
1113,C02DB03,C02DB03,C02DB03 - Endralazina,C02DB03 - Endralazina
1114,C02DB04,C02DB04,C02DB04 - Cadralazina,C02DB04 - Cadralazina
1115,C02DC,C02DC,C02DC - Derivados de la pirimidina,C02DC - Derivados de la pirimidina
1116,C02DC01,C02DC01,C02DC01 - Minoxidil,C02DC01 - Minoxidil
1117,C02DD,C02DD,C02DD - Derivados del nitroferricianuro,C02DD - Derivados del nitroferricianuro
1118,C02DD01,C02DD01,C02DD01 - Nitroprusiato,C02DD01 - Nitroprusiato
1119,C02DG,C02DG,C02DG - Derivados de la guanidina,C02DG - Derivados de la guanidina
1120,C02DG01,C02DG01,C02DG01 - Pinacidil,C02DG01 - Pinacidil
1121,C02K,C02K,C02K - OTROS ANTIHIPERTENSIVOS,C02K - OTROS ANTIHIPERTENSIVOS
1122,C02KA,C02KA,"C02KA - Alcaloides, excluyendo los de la rauwolfia","C02KA - Alcaloides, excluyendo los de la rauwolfia"
1123,C02KA01,C02KA01,C02KA01 - Veratro,C02KA01 - Veratro
1124,C02KB,C02KB,C02KB - Inhibidores de la tirosina hidroxilasa,C02KB - Inhibidores de la tirosina hidroxilasa
1125,C02KB01,C02KB01,C02KB01 - Metirosina,C02KB01 - Metirosina
1126,C02KC,C02KC,C02KC - Inhibidores de la MAO,C02KC - Inhibidores de la MAO
1127,C02KC01,C02KC01,C02KC01 - Pargilina,C02KC01 - Pargilina
1128,C02KD,C02KD,C02KD - Antagonistas de la serotonina,C02KD - Antagonistas de la serotonina
1129,C02KD01,C02KD01,C02KD01 - Ketanserina,C02KD01 - Ketanserina
1130,C02L,C02L,C02L - ANTIHIPERTENSIVOS Y DIURÉTICOS EN COMBINACIÓN,C02L - ANTIHIPERTENSIVOS Y DIURÉTICOS EN COMBINACIÓN
1131,C02LA,C02LA,C02LA - Alcaloides de la rauwolfia y diuréticos en combinación,C02LA - Alcaloides de la rauwolfia y diuréticos en combinación
1132,C02LA01,C02LA01,C02LA01 - Reserpina y diuréticos,C02LA01 - Reserpina y diuréticos
1133,C02LA02,C02LA02,C02LA02 - Rescinamina y diuréticos,C02LA02 - Rescinamina y diuréticos
1134,C02LA03,C02LA03,C02LA03 - Deserpidina y diuréticos,C02LA03 - Deserpidina y diuréticos
1135,C02LA04,C02LA04,C02LA04 - Metoserpidina y diuréticos,C02LA04 - Metoserpidina y diuréticos
1136,C02LA07,C02LA07,C02LA07 - Bietaserpina y diuréticos,C02LA07 - Bietaserpina y diuréticos
1137,C02LA08,C02LA08,"C02LA08 - Rauwolfia, alcaloides de raíz entera, y diuréticos","C02LA08 - Rauwolfia, alcaloides de raíz entera, y diuréticos"
1138,C02LA09,C02LA09,C02LA09 - Sirosingopina y diuréticos,C02LA09 - Sirosingopina y diuréticos
1139,C02LA50,C02LA50,"C02LA50 - Combinación de alcaloides de la rauwolfia y diuréticos, incluyendo otras combinaciones","C02LA50 - Combinación de alcaloides de la rauwolfia y diuréticos, incluyendo otras combinaciones"
1140,C02LA51,C02LA51,"C02LA51 - Reserpina y diuréticos, combinaciones con otras farmacos","C02LA51 - Reserpina y diuréticos, combinaciones con otras farmacos"
1141,C02LA52,C02LA52,"C02LA52 - Rescinamina y diuréticos, combinaciones con otras farmacos","C02LA52 - Rescinamina y diuréticos, combinaciones con otras farmacos"
1142,C02LA71,C02LA71,"C02LA71 - Reserpina y diuréticos, combinaciones con psicolépticos","C02LA71 - Reserpina y diuréticos, combinaciones con psicolépticos"
1143,C02LB,C02LB,C02LB - Metildopa y diuréticos en combinación,C02LB - Metildopa y diuréticos en combinación
1144,C02LB01,C02LB01,C02LB01 - Metildopa (levógira) y diuréticos,C02LB01 - Metildopa (levógira) y diuréticos
1145,C02LC,C02LC,C02LC - Agonistas del receptor de imidazolina y diuréticos en combinación,C02LC - Agonistas del receptor de imidazolina y diuréticos en combinación
1146,C02LC01,C02LC01,C02LC01 - Clonidina y diuréticos,C02LC01 - Clonidina y diuréticos
1147,C02LC51,C02LC51,"C02LC51 - Clonidina y diuréticos, combinaciones con otras farmacos","C02LC51 - Clonidina y diuréticos, combinaciones con otras farmacos"
1148,C02LE,C02LE,C02LE - Antagonistas alfa- adrenérgicos y diuréticos,C02LE - Antagonistas alfa- adrenérgicos y diuréticos
1149,C02LE01,C02LE01,C02LE01 - Prazosina y diuréticos,C02LE01 - Prazosina y diuréticos
1150,C02LF,C02LF,C02LF - Derivados de la guanidina y diuréticos,C02LF - Derivados de la guanidina y diuréticos
1151,C02LF01,C02LF01,C02LF01 - Guanetidina y diuréticos,C02LF01 - Guanetidina y diuréticos
1152,C02LG,C02LG,C02LG - Derivados de la hidrazinoftalazina y diuréticos,C02LG - Derivados de la hidrazinoftalazina y diuréticos
1153,C02LG01,C02LG01,C02LG01 - Dihidralazina y diuréticos,C02LG01 - Dihidralazina y diuréticos
1154,C02LG02,C02LG02,C02LG02 - Hidralazina y diuréticos,C02LG02 - Hidralazina y diuréticos
1155,C02LG03,C02LG03,C02LG03 - Picodralazina y diuréticos,C02LG03 - Picodralazina y diuréticos
1156,C02LG51,C02LG51,"C02LG51 - Dihidralazina y diuréticos, combinaciones con otras farmacos","C02LG51 - Dihidralazina y diuréticos, combinaciones con otras farmacos"
1157,C02LG73,C02LG73,"C02LG73 - Picodralazina y diuréticos, combinaciones con psicolépticos","C02LG73 - Picodralazina y diuréticos, combinaciones con psicolépticos"
1158,C02LK,C02LK,"C02LK - Alcaloides, excluyendo los de la rauwolfia, en combinación con diuréticos","C02LK - Alcaloides, excluyendo los de la rauwolfia, en combinación con diuréticos"
1159,C02LK01,C02LK01,C02LK01 - Veratro y diuréticos,C02LK01 - Veratro y diuréticos
1160,C02LL,C02LL,C02LL - Inhibidores de la MAO y diuréticos,C02LL - Inhibidores de la MAO y diuréticos
1161,C02LL01,C02LL01,C02LL01 - Pargilina y diuréticos,C02LL01 - Pargilina y diuréticos
1162,C02LN,C02LN,C02LN - Antagonistas de serotonina y diuréticos,C02LN - Antagonistas de serotonina y diuréticos
1163,C02LX,C02LX,C02LX - Otros antihipertensivos y diuréticos,C02LX - Otros antihipertensivos y diuréticos
1164,C02LX01,C02LX01,C02LX01 - Pinacidil y diuréticos,C02LX01 - Pinacidil y diuréticos
1165,C02N,C02N,C02N - COMBINACIONES DE ANTIHIPERTENSIVOS DEL GRUPO C02 DE ATC,C02N - COMBINACIONES DE ANTIHIPERTENSIVOS DEL GRUPO C02 DE ATC
1166,C03,C03,C03 - DIURÉTICOS,C03 - DIURÉTICOS
1167,C03A,C03A,C03A - DIURÉTICOS DE TECHO BAJO: TIAZIDAS,C03A - DIURÉTICOS DE TECHO BAJO: TIAZIDAS
1168,C03AA,C03AA,"C03AA - Tiazidas, monofármacos","C03AA - Tiazidas, monofármacos"
1169,C03AA01,C03AA01,C03AA01 - Bendroflumetiazida,C03AA01 - Bendroflumetiazida
1170,C03AA02,C03AA02,C03AA02 - Hidroflumetiazida,C03AA02 - Hidroflumetiazida
1171,C03AA03,C03AA03,C03AA03 - Hidroclorotiazida,C03AA03 - Hidroclorotiazida
1172,C03AA04,C03AA04,C03AA04 - Clorotiazida,C03AA04 - Clorotiazida
1173,C03AA05,C03AA05,C03AA05 - Politiazida,C03AA05 - Politiazida
1174,C03AA06,C03AA06,C03AA06 - Triclormetiazida,C03AA06 - Triclormetiazida
1175,C03AA07,C03AA07,C03AA07 - Ciclopentiazida,C03AA07 - Ciclopentiazida
1176,C03AA08,C03AA08,C03AA08 - Meticlotiazida,C03AA08 - Meticlotiazida
1177,C03AA09,C03AA09,C03AA09 - Ciclotiazida,C03AA09 - Ciclotiazida
1178,C03AA13,C03AA13,C03AA13 - Mebutizida,C03AA13 - Mebutizida
1179,C03AB,C03AB,C03AB - Tiazidas y potasio en combinación,C03AB - Tiazidas y potasio en combinación
1180,C03AB01,C03AB01,C03AB01 - Bendroflumetiazida y potasio,C03AB01 - Bendroflumetiazida y potasio
1181,C03AB02,C03AB02,C03AB02 - Hidroflumetiazida y potasio,C03AB02 - Hidroflumetiazida y potasio
1182,C03AB03,C03AB03,C03AB03 - Hidroclorotiazida y potasio,C03AB03 - Hidroclorotiazida y potasio
1183,C03AB04,C03AB04,C03AB04 - Clorotiazida y potasio,C03AB04 - Clorotiazida y potasio
1184,C03AB05,C03AB05,C03AB05 - Politiazida y potasio,C03AB05 - Politiazida y potasio
1185,C03AB06,C03AB06,C03AB06 - Triclormetiazida y potasio,C03AB06 - Triclormetiazida y potasio
1186,C03AB07,C03AB07,C03AB07 - Ciclopentiazida y potasio,C03AB07 - Ciclopentiazida y potasio
1187,C03AB08,C03AB08,C03AB08 - Meticlotiazida y potasio,C03AB08 - Meticlotiazida y potasio
1188,C03AB09,C03AB09,C03AB09 - Ciclotiazida y potasio,C03AB09 - Ciclotiazida y potasio
1189,C03AH,C03AH,"C03AH - Tiazidas, combinaciones con psicolépticos y/o analgésicos","C03AH - Tiazidas, combinaciones con psicolépticos y/o analgésicos"
1190,C03AH01,C03AH01,"C03AH01 - Clorotiazida, combinaciones con","C03AH01 - Clorotiazida, combinaciones con"
1191,C03AH02,C03AH02,"C03AH02 - Hidroflumetiazida, combinaciones con","C03AH02 - Hidroflumetiazida, combinaciones con"
1192,C03AX,C03AX,"C03AX - Tiazidas, combinaciones con otros fármacos","C03AX - Tiazidas, combinaciones con otros fármacos"
1193,C03AX01,C03AX01,"C03AX01 - Hidroclorotiazida, combinaciones con","C03AX01 - Hidroclorotiazida, combinaciones con"
1194,C03B,C03B,"C03B - DIURÉTICOS DE TECHO BAJO, EXCLUYENDO TIAZIDAS","C03B - DIURÉTICOS DE TECHO BAJO, EXCLUYENDO TIAZIDAS"
1195,C03BA,C03BA,"C03BA - Sulfonamidas, monofármacos","C03BA - Sulfonamidas, monofármacos"
1196,C03BA02,C03BA02,C03BA02 - Quinetazona,C03BA02 - Quinetazona
1197,C03BA03,C03BA03,C03BA03 - Clopamida,C03BA03 - Clopamida
1198,C03BA04,C03BA04,C03BA04 - Clortalidona,C03BA04 - Clortalidona
1199,C03BA05,C03BA05,C03BA05 - Mefrusida,C03BA05 - Mefrusida
1200,C03BA07,C03BA07,C03BA07 - Clofenamida,C03BA07 - Clofenamida
1201,C03BA08,C03BA08,C03BA08 - Metolazona,C03BA08 - Metolazona
1202,C03BA09,C03BA09,C03BA09 - Meticrano,C03BA09 - Meticrano
1203,C03BA10,C03BA10,C03BA10 - Xipamida,C03BA10 - Xipamida
1204,C03BA11,C03BA11,C03BA11 - Indapamida,C03BA11 - Indapamida
1205,C03BA12,C03BA12,C03BA12 - Clorexolona,C03BA12 - Clorexolona
1206,C03BA13,C03BA13,C03BA13 - Fenquizona,C03BA13 - Fenquizona
1207,S01LA,S01LA,S01LA - Agentes Antineovascularización,S01LA - Agentes Antineovascularización
1208,C03BB,C03BB,"C03BB - Sulfonamidas y potasio, en combinación","C03BB - Sulfonamidas y potasio, en combinación"
1209,C03BB02,C03BB02,C03BB02 - Quinetazona y potasio,C03BB02 - Quinetazona y potasio
1210,C03BB03,C03BB03,C03BB03 - Clopamida y potasio,C03BB03 - Clopamida y potasio
1211,C03BB04,C03BB04,C03BB04 - Clortalidona y potasio,C03BB04 - Clortalidona y potasio
1212,C03BB05,C03BB05,C03BB05 - Mefrusida y potasio,C03BB05 - Mefrusida y potasio
1213,C03BB07,C03BB07,C03BB07 - Clofenamida y potasio,C03BB07 - Clofenamida y potasio
1214,C03BC,C03BC,C03BC - Diuréticos mercuriales,C03BC - Diuréticos mercuriales
1215,C03BC01,C03BC01,C03BC01 - Mersalilo,C03BC01 - Mersalilo
1216,C03BD,C03BD,C03BD - Derivados de la xantina,C03BD - Derivados de la xantina
1217,C03BD01,C03BD01,C03BD01 - Teobromina,C03BD01 - Teobromina
1218,C03BK,C03BK,C03BK - Sulfonamidas combinadas con otros fármacos,C03BK - Sulfonamidas combinadas con otros fármacos
1219,C03BX,C03BX,C03BX - Otros diuréticos de techo bajo,C03BX - Otros diuréticos de techo bajo
1220,C03BX03,C03BX03,C03BX03 - Cicletanina,C03BX03 - Cicletanina
1221,C03C,C03C,C03C - DIURÉTICOS DE TECHO ALTO,C03C - DIURÉTICOS DE TECHO ALTO
1222,C03CA,C03CA,"C03CA - Sulfonamidas, monofármacos","C03CA - Sulfonamidas, monofármacos"
1223,C03CA01,C03CA01,C03CA01 - Furosemida,C03CA01 - Furosemida
1224,C03CA02,C03CA02,C03CA02 - Bumetanida,C03CA02 - Bumetanida
1225,C03CA03,C03CA03,C03CA03 - Piretanida,C03CA03 - Piretanida
1226,C03CA04,C03CA04,C03CA04 - Torasemida,C03CA04 - Torasemida
1227,C03CB,C03CB,"C03CB - Sulfonamidas y potasio, en combinación","C03CB - Sulfonamidas y potasio, en combinación"
1228,C03CB01,C03CB01,C03CB01 - Furosemida y potasio,C03CB01 - Furosemida y potasio
1229,C03CB02,C03CB02,C03CB02 - Bumetanida y potasio,C03CB02 - Bumetanida y potasio
1230,C03CC,C03CC,C03CC - Derivados del ácido ariloxiacético,C03CC - Derivados del ácido ariloxiacético
1231,C03CC01,C03CC01,C03CC01 - Ácido etacrínico,C03CC01 - Ácido etacrínico
1232,C03CC02,C03CC02,C03CC02 - Ácido tienílico,C03CC02 - Ácido tienílico
1233,C03CD,C03CD,C03CD - Derivados de la pirazolona,C03CD - Derivados de la pirazolona
1234,C03CD01,C03CD01,C03CD01 - Muzolimina,C03CD01 - Muzolimina
1235,C03CX,C03CX,C03CX - Otros diuréticos de techo alto,C03CX - Otros diuréticos de techo alto
1236,C03CX01,C03CX01,C03CX01 - Etozolina,C03CX01 - Etozolina
1237,C03D,C03D,C03D - Antagonistas de la aldosterona y otros agentes ahorradores de potasio,C03D - Antagonistas de la aldosterona y otros agentes ahorradores de potasio
1238,C03DA,C03DA,C03DA - Antagonistas de la aldosterona,C03DA - Antagonistas de la aldosterona
1239,C03DA01,C03DA01,C03DA01 - Espironolactona,C03DA01 - Espironolactona
1240,C03DA02,C03DA02,C03DA02 - Canrenoato de potasio,C03DA02 - Canrenoato de potasio
1241,C03DA03,C03DA03,C03DA03 - Canrenona,C03DA03 - Canrenona
1242,C03DB,C03DB,C03DB - Otros agentes ahorradores de potasio,C03DB - Otros agentes ahorradores de potasio
1243,C03DB01,C03DB01,C03DB01 - Amilorida,C03DB01 - Amilorida
1244,C03DB02,C03DB02,C03DB02 - Triamtereno,C03DB02 - Triamtereno
1245,C03E,C03E,C03E - DIURÉTICOS Y AGENTES AHORRADORES DE POTASIO EN COMBINACIÓN,C03E - DIURÉTICOS Y AGENTES AHORRADORES DE POTASIO EN COMBINACIÓN
1246,C03EA,C03EA,C03EA - Diuréticos de techo bajo y agentes ahorradores de potasio,C03EA - Diuréticos de techo bajo y agentes ahorradores de potasio
1247,C03EA01,C03EA01,C03EA01 - Hidroclorotiazida y agentes ahorradores de potasio,C03EA01 - Hidroclorotiazida y agentes ahorradores de potasio
1248,C03EA02,C03EA02,C03EA02 - Triclormetiazida y agentes ahorradores de potasio,C03EA02 - Triclormetiazida y agentes ahorradores de potasio
1249,C03EA03,C03EA03,C03EA03 - Epitizida y agentes ahorradores de potasio,C03EA03 - Epitizida y agentes ahorradores de potasio
1250,C03EA04,C03EA04,C03EA04 - Altizida y agentes ahorradores de potasio,C03EA04 - Altizida y agentes ahorradores de potasio
1251,C03EA05,C03EA05,C03EA05 - Mebutizida y agentes ahorradores de potasio,C03EA05 - Mebutizida y agentes ahorradores de potasio
1252,C03EA06,C03EA06,C03EA06 - Clortalidona y agentes ahorradores de potasio,C03EA06 - Clortalidona y agentes ahorradores de potasio
1253,C03EA07,C03EA07,C03EA07 - Ciclopentiazida y agentes ahorradores de potasio,C03EA07 - Ciclopentiazida y agentes ahorradores de potasio
1254,C03EA12,C03EA12,C03EA12 - Metolazona y agentes ahorradores de potasio,C03EA12 - Metolazona y agentes ahorradores de potasio
1255,C03EA13,C03EA13,C03EA13 - Bendroflumetiazida y agentes ahorradores de potasio,C03EA13 - Bendroflumetiazida y agentes ahorradores de potasio
1256,C03EA14,C03EA14,C03EA14 - Butizida y agentes ahorradores de potasio,C03EA14 - Butizida y agentes ahorradores de potasio
1257,C03EB,C03EB,C03EB - Diuréticos de techo alto y agentes ahorradores de potasio,C03EB - Diuréticos de techo alto y agentes ahorradores de potasio
1258,C03EB01,C03EB01,C03EB01 - Furosemida y agentes ahorradores de potasio,C03EB01 - Furosemida y agentes ahorradores de potasio
1259,C03EB02,C03EB02,C03EB02 - Bumetanida y agentes ahorradores de potasio,C03EB02 - Bumetanida y agentes ahorradores de potasio
1260,C04,C04,C04 - VASODILATADORES PERIFÉRICOS,C04 - VASODILATADORES PERIFÉRICOS
1261,C04A,C04A,C04A - VASODILATADORES PERIFÉRICOS,C04A - VASODILATADORES PERIFÉRICOS
1262,C04AA,C04AA,C04AA - Derivados del 2-amino-1-feniletanol,C04AA - Derivados del 2-amino-1-feniletanol
1263,C04AA01,C04AA01,C04AA01 - Isoxsuprina,C04AA01 - Isoxsuprina
1264,C04AA02,C04AA02,C04AA02 - Bufenina,C04AA02 - Bufenina
1265,C04AA31,C04AA31,C04AA31 - Bametán,C04AA31 - Bametán
1266,C04AB,C04AB,C04AB - Derivados de la imizadolina,C04AB - Derivados de la imizadolina
1267,C04AB01,C04AB01,C04AB01 - Fentolamina,C04AB01 - Fentolamina
1268,C04AB02,C04AB02,C04AB02 - Tolazolina,C04AB02 - Tolazolina
1269,C04AC,C04AC,C04AC - Ácido nicotínico y derivados,C04AC - Ácido nicotínico y derivados
1270,C04AC01,C04AC01,C04AC01 - Ácido nicotínico,C04AC01 - Ácido nicotínico
1271,C04AC02,C04AC02,"C04AC02 - Nicotinilo, alcohol (piridilcarbinol)","C04AC02 - Nicotinilo, alcohol (piridilcarbinol)"
1272,C04AC03,C04AC03,C04AC03 - Nicotinato de inositol,C04AC03 - Nicotinato de inositol
1273,C04AC07,C04AC07,C04AC07 - Ciclonicato,C04AC07 - Ciclonicato
1274,C04AD,C04AD,C04AD - Derivados de la purina,C04AD - Derivados de la purina
1275,C04AD01,C04AD01,C04AD01 - Pentifilina,C04AD01 - Pentifilina
1276,C04AD02,C04AD02,C04AD02 - Nicotinato de xantinol,C04AD02 - Nicotinato de xantinol
1277,C04AD03,C04AD03,C04AD03 - Pentoxifilina,C04AD03 - Pentoxifilina
1278,C04AD04,C04AD04,C04AD04 - Etofilina,C04AD04 - Etofilina
1279,C04AE,C04AE,C04AE - Alcaloides del ergot,C04AE - Alcaloides del ergot
1280,C04AE01,C04AE01,C04AE01 - Ergoloides mesilatos,C04AE01 - Ergoloides mesilatos
1281,C04AE02,C04AE02,C04AE02 - Nicergolina,C04AE02 - Nicergolina
1282,C04AE04,C04AE04,C04AE04 - Dihidroergocristina,C04AE04 - Dihidroergocristina
1283,C04AE51,C04AE51,"C04AE51 - Ergoloides mesilatos, combinaciones con","C04AE51 - Ergoloides mesilatos, combinaciones con"
1284,C04AE54,C04AE54,"C04AE54 - Dihidroergocristina, combinaciones con","C04AE54 - Dihidroergocristina, combinaciones con"
1285,C04AF,C04AF,C04AF - Enzimas,C04AF - Enzimas
1286,C04AF01,C04AF01,C04AF01 - Kalidinogenasa,C04AF01 - Kalidinogenasa
1287,C04AX,C04AX,C04AX - Otros vasodilatadores periféricos,C04AX - Otros vasodilatadores periféricos
1288,C04AX01,C04AX01,C04AX01 - Ciclandelato,C04AX01 - Ciclandelato
1289,C04AX02,C04AX02,C04AX02 - Fenoxibenzamina,C04AX02 - Fenoxibenzamina
1290,C04AX07,C04AX07,C04AX07 - Vincamina,C04AX07 - Vincamina
1291,C04AX10,C04AX10,C04AX10 - Moxisilita,C04AX10 - Moxisilita
1292,C04AX11,C04AX11,C04AX11 - Benciclano,C04AX11 - Benciclano
1293,C04AX13,C04AX13,C04AX13 - Piribedil,C04AX13 - Piribedil
1294,C04AX17,C04AX17,C04AX17 - Vinburnina,C04AX17 - Vinburnina
1295,C04AX19,C04AX19,C04AX19 - Sulcotidil,C04AX19 - Sulcotidil
1296,C04AX20,C04AX20,C04AX20 - Buflomedil,C04AX20 - Buflomedil
1297,C04AX21,C04AX21,C04AX21 - Naftidrofurilo,C04AX21 - Naftidrofurilo
1298,C04AX23,C04AX23,C04AX23 - Butalamina,C04AX23 - Butalamina
1299,C04AX24,C04AX24,C04AX24 - Visnadina,C04AX24 - Visnadina
1300,C04AX26,C04AX26,C04AX26 - Cetiedil,C04AX26 - Cetiedil
1301,C04AX27,C04AX27,C04AX27 - Cinepazida,C04AX27 - Cinepazida
1302,C04AX28,C04AX28,C04AX28 - Ifenprodil,C04AX28 - Ifenprodil
1303,C04AX30,C04AX30,C04AX30 - Azapetina,C04AX30 - Azapetina
1304,C05,C05,C05 - VASOPROTECTORES,C05 - VASOPROTECTORES
1305,C05A,C05A,C05A - AGENTES DE USO TÓPICO PARA EL TRATAMIENTO DE HEMORROIDES Y FISURAS ANALES,C05A - AGENTES DE USO TÓPICO PARA EL TRATAMIENTO DE HEMORROIDES Y FISURAS ANALES
1306,C05AA,C05AA,C05AA - Corticosteroides,C05AA - Corticosteroides
1307,C05AA01,C05AA01,C05AA01 - Hidrocortisona,C05AA01 - Hidrocortisona
1308,C05AA04,C05AA04,C05AA04 - Prednisolona,C05AA04 - Prednisolona
1309,C05AA05,C05AA05,C05AA05 - Betametasona,C05AA05 - Betametasona
1310,C05AA06,C05AA06,C05AA06 - Fluorometolona,C05AA06 - Fluorometolona
1311,C05AA08,C05AA08,C05AA08 - Fluocortolona,C05AA08 - Fluocortolona
1312,C05AA09,C05AA09,C05AA09 - Dexametasona,C05AA09 - Dexametasona
1313,C05AA10,C05AA10,"C05AA10 - Fluocinolona, acetónido de","C05AA10 - Fluocinolona, acetónido de"
1314,C05AA11,C05AA11,C05AA11 - Fluocinónida,C05AA11 - Fluocinónida
1315,C05AB,C05AB,C05AB - Antibióticos,C05AB - Antibióticos
1316,C05AD,C05AD,C05AD - Anestésicos locales,C05AD - Anestésicos locales
1317,C05AD01,C05AD01,C05AD01 - Lidocaína,C05AD01 - Lidocaína
1318,C05AD02,C05AD02,C05AD02 - Tetracaína,C05AD02 - Tetracaína
1319,C05AD03,C05AD03,C05AD03 - Benzocaína,C05AD03 - Benzocaína
1320,C05AD04,C05AD04,C05AD04 - Cincocaína,C05AD04 - Cincocaína
1321,C05AD05,C05AD05,C05AD05 - Procaína,C05AD05 - Procaína
1322,C05AD06,C05AD06,C05AD06 - Oxetacaína,C05AD06 - Oxetacaína
1323,C05AD07,C05AD07,C05AD07 - Pramocaína,C05AD07 - Pramocaína
1324,C05AX,C05AX,C05AX - Otros agentes de uso tópico para el tratamiento de hemorroides y fisuras anales,C05AX - Otros agentes de uso tópico para el tratamiento de hemorroides y fisuras anales
1325,C05AX01,C05AX01,"C05AX01 - Aluminio, preparados de","C05AX01 - Aluminio, preparados de"
1326,C05AX02,C05AX02,"C05AX02 - Bismuto, preparados de, combinaciones con","C05AX02 - Bismuto, preparados de, combinaciones con"
1327,C05AX03,C05AX03,"C05AX03 - Otras preparaciones, combinaciones","C05AX03 - Otras preparaciones, combinaciones"
1328,C05AX04,C05AX04,"C05AX04 - Zinc, preparados con","C05AX04 - Zinc, preparados con"
1329,C05AX05,C05AX05,C05AX05 - Tribenósido,C05AX05 - Tribenósido
1330,C05B,C05B,C05B - TERAPIA ANTIVARICOSA,C05B - TERAPIA ANTIVARICOSA
1331,C05BA,C05BA,C05BA - Heparinas o heparinoides para uso tópico,C05BA - Heparinas o heparinoides para uso tópico
1332,C05BA01,C05BA01,C05BA01 - Heparinoides orgánicos,C05BA01 - Heparinoides orgánicos
1333,C05BA02,C05BA02,C05BA02 - Apolato de sodio,C05BA02 - Apolato de sodio
1334,C05BA03,C05BA03,C05BA03 - Heparina,C05BA03 - Heparina
1335,C05BA04,C05BA04,C05BA04 - Pentosán polisulfato de sodio,C05BA04 - Pentosán polisulfato de sodio
1336,C05BA51,C05BA51,"C05BA51 - Heparinoides, combinaciones con","C05BA51 - Heparinoides, combinaciones con"
1337,C05BA53,C05BA53,"C05BA53 - Heparina, combinaciones con","C05BA53 - Heparina, combinaciones con"
1338,C05BB,C05BB,C05BB - Agentes esclerosantes para inyección local,C05BB - Agentes esclerosantes para inyección local
1339,C05BB01,C05BB01,"C05BB01 - Monoetanolamina, oleato de","C05BB01 - Monoetanolamina, oleato de"
1340,C05BB02,C05BB02,C05BB02 - Polidocanol,C05BB02 - Polidocanol
1341,C05BB03,C05BB03,C05BB03 - Azúcar invertido,C05BB03 - Azúcar invertido
1342,C05BB04,C05BB04,C05BB04 - Tetradecilsulfato de sodio,C05BB04 - Tetradecilsulfato de sodio
1343,C05BB05,C05BB05,C05BB05 - Fenol,C05BB05 - Fenol
1344,C05BB56,C05BB56,"C05BB56 - Glucosa, combinaciones","C05BB56 - Glucosa, combinaciones"
1345,C05BX,C05BX,C05BX - Otros agentes esclerosantes,C05BX - Otros agentes esclerosantes
1346,C05BX01,C05BX01,C05BX01 - Dobesilato de calcio,C05BX01 - Dobesilato de calcio
1347,C05BX51,C05BX51,"C05BX51 - Dobesilato de calcio, combinaciones con","C05BX51 - Dobesilato de calcio, combinaciones con"
1348,C05C,C05C,C05C - AGENTES ESTABILIZADORES DE CAPILARES,C05C - AGENTES ESTABILIZADORES DE CAPILARES
1349,C05CA,C05CA,C05CA - Bioflavonoides,C05CA - Bioflavonoides
1350,C05CA01,C05CA01,C05CA01 - Rutósido,C05CA01 - Rutósido
1351,C05CA02,C05CA02,C05CA02 - Monoxerutina,C05CA02 - Monoxerutina
