nroatc,codigoatc,codigoatc_L,descatc,label
4039,P02CE,P02CE,P02CE - Derivados del imidazotiazol,P02CE - Derivados del imidazotiazol
4040,P02CE01,P02CE01,P02CE01 - Levamisol,P02CE01 - Levamisol
4041,P02CF,P02CF,P02CF - Avermectinas,P02CF - Avermectinas
4042,P02CF01,P02CF01,P02CF01 - Ivermectina,P02CF01 - Ivermectina
4043,P02CX,P02CX,P02CX - Otros antinematodos,P02CX - Otros antinematodos
4044,P02CX01,P02CX01,"P02CX01 - Pirvinio, cloruro de","P02CX01 - Pirvinio, cloruro de"
4045,P02CX02,P02CX02,"P02CX02 - Befenio, hidroxinaftoato de","P02CX02 - Befenio, hidroxinaftoato de"
4046,P02D,P02D,P02D - ANTICESTODOS,P02D - ANTICESTODOS
4047,P02DA,P02DA,P02DA - Derivados del ácido salicílico,P02DA - Derivados del ácido salicílico
4048,P02DA01,P02DA01,P02DA01 - Niclosamida,P02DA01 - Niclosamida
4049,P02DX,P02DX,P02DX - Otros anticestodos,P02DX - Otros anticestodos
4050,P02DX01,P02DX01,P02DX01 - Desaspidina,P02DX01 - Desaspidina
4051,P02DX02,P02DX02,P02DX02 - Diclorofeno,P02DX02 - Diclorofeno
4052,P03,P03,"P03 - ECTOPARASITICIDAS, INCLUYENDO ESCABICIDAS, INSECTICIDAS Y REPELENTES","P03 - ECTOPARASITICIDAS, INCLUYENDO ESCABICIDAS, INSECTICIDAS Y REPELENTES"
4053,P03A,P03A,"P03A - ECTOPARASITICIDAS, INCLUYENDO ESCABICIDAS","P03A - ECTOPARASITICIDAS, INCLUYENDO ESCABICIDAS"
4054,P03AA,P03AA,P03AA - Productos que contienen azufre,P03AA - Productos que contienen azufre
4055,P03AA01,P03AA01,P03AA01 - Dixantogeno,P03AA01 - Dixantogeno
4056,P03AA02,P03AA02,P03AA02 - Polisulfato de potasio,P03AA02 - Polisulfato de potasio
4057,P03AA03,P03AA03,P03AA03 - Mesulfeno,P03AA03 - Mesulfeno
4058,P03AA04,P03AA04,P03AA04 - Disulfiram,P03AA04 - Disulfiram
4059,P03AA05,P03AA05,P03AA05 - Tiram,P03AA05 - Tiram
4060,P03AA54,P03AA54,"P03AA54 - Disulfiram, combinaciones con","P03AA54 - Disulfiram, combinaciones con"
4061,P03AB,P03AB,P03AB - Productos que contienen cloro,P03AB - Productos que contienen cloro
4062,P03AB01,P03AB01,P03AB01 - Clofenotano,P03AB01 - Clofenotano
4063,P03AB02,P03AB02,P03AB02 - Lindano,P03AB02 - Lindano
4064,P03AB51,P03AB51,"P03AB51 - Clofenotano, combinaciones con","P03AB51 - Clofenotano, combinaciones con"
4065,P03AC,P03AC,"P03AC - Piretrinas, incluyendo compuestos sintéticos","P03AC - Piretrinas, incluyendo compuestos sintéticos"
4066,P03AC01,P03AC01,P03AC01 - Piretro,P03AC01 - Piretro
4067,P03AC02,P03AC02,P03AC02 - Bioaletrina,P03AC02 - Bioaletrina
4068,P03AC03,P03AC03,P03AC03 - Fenotrina,P03AC03 - Fenotrina
4069,P03AC04,P03AC04,P03AC04 - Permetrina,P03AC04 - Permetrina
4070,P03AC51,P03AC51,"P03AC51 - Piretro, combinaciones con","P03AC51 - Piretro, combinaciones con"
4071,P03AC52,P03AC52,"P03AC52 - Bioaletrina, combinaciones con","P03AC52 - Bioaletrina, combinaciones con"
4072,P03AC53,P03AC53,"P03AC53 - Fenotrina, combinaciones con","P03AC53 - Fenotrina, combinaciones con"
4073,P03AC54,P03AC54,"P03AC54 - Permetrina, combinaciones con","P03AC54 - Permetrina, combinaciones con"
4074,P03AX,P03AX,"P03AX - Otros ectoparasiticidas, incluyendo escabicidas","P03AX - Otros ectoparasiticidas, incluyendo escabicidas"
4075,P03AX01,P03AX01,P03AX01 - Benzoato de bencilo,P03AX01 - Benzoato de bencilo
4076,P03AX02,P03AX02,P03AX02 - Oleinato de cobre,P03AX02 - Oleinato de cobre
4077,P03AX03,P03AX03,P03AX03 - Malatión,P03AX03 - Malatión
4078,P03AX04,P03AX04,P03AX04 - Cuasia,P03AX04 - Cuasia
4079,P03B,P03B,P03B - INSECTICIDAS Y REPELENTES,P03B - INSECTICIDAS Y REPELENTES
4080,P03BA,P03BA,P03BA - Piretrinas,P03BA - Piretrinas
4081,P03BA01,P03BA01,P03BA01 - Ciflutrina,P03BA01 - Ciflutrina
4082,P03BA02,P03BA02,P03BA02 - Cipermetrina,P03BA02 - Cipermetrina
4083,P03BA03,P03BA03,P03BA03 - Decametrina,P03BA03 - Decametrina
4084,P03BA04,P03BA04,P03BA04 - Tetrametrina,P03BA04 - Tetrametrina
4085,P03BX,P03BX,P03BX - Otros insecticidas y repelentes,P03BX - Otros insecticidas y repelentes
4086,P03BX01,P03BX01,P03BX01 - Dietiltoluamida,P03BX01 - Dietiltoluamida
4087,P03BX02,P03BX02,P03BX02 - Ftalato de dimetilo,P03BX02 - Ftalato de dimetilo
4088,P03BX03,P03BX03,P03BX03 - Ftalato de dibutilo,P03BX03 - Ftalato de dibutilo
4089,P03BX04,P03BX04,P03BX04 - Succinato de dibutilo,P03BX04 - Succinato de dibutilo
4090,P03BX05,P03BX05,P03BX05 - Dimetilcarbato de dietilo,P03BX05 - Dimetilcarbato de dietilo
4091,P03BX06,P03BX06,P03BX06 - Etohexadiol,P03BX06 - Etohexadiol
4092,R,R,R - SISTEMA RESPIRATORIO,R - SISTEMA RESPIRATORIO
4093,R01,R01,R01 - PREPARADOS DE USO NASAL,R01 - PREPARADOS DE USO NASAL
4094,R01A,R01A,R01A - DESCONGESTIVOS Y OTROS PREPARADOS NASALES PARA USO TÓPICO,R01A - DESCONGESTIVOS Y OTROS PREPARADOS NASALES PARA USO TÓPICO
4095,R01AA,R01AA,"R01AA - Simpaticomiméticos, monofármacos","R01AA - Simpaticomiméticos, monofármacos"
4096,R01AA02,R01AA02,R01AA02 - Ciclopentamina,R01AA02 - Ciclopentamina
4097,R01AA03,R01AA03,R01AA03 - Efedrina,R01AA03 - Efedrina
4098,R01AA04,R01AA04,R01AA04 - Fenilefrina,R01AA04 - Fenilefrina
4099,R01AA05,R01AA05,R01AA05 - Oximetazolina,R01AA05 - Oximetazolina
4100,R01AA06,R01AA06,R01AA06 - Tetrizolina,R01AA06 - Tetrizolina
4101,R01AA07,R01AA07,R01AA07 - Xilometazolina,R01AA07 - Xilometazolina
4102,R01AA08,R01AA08,R01AA08 - Nafazolina,R01AA08 - Nafazolina
4103,R01AA09,R01AA09,R01AA09 - Tramazolina,R01AA09 - Tramazolina
4104,R01AA10,R01AA10,R01AA10 - Metizolina,R01AA10 - Metizolina
4105,R01AA11,R01AA11,R01AA11 - Tuaminoheptano,R01AA11 - Tuaminoheptano
4106,R01AA12,R01AA12,R01AA12 - Fenoxazolina,R01AA12 - Fenoxazolina
4107,R01AA13,R01AA13,R01AA13 - Timazolina,R01AA13 - Timazolina
4108,R01AA14,R01AA14,R01AA14 - Epinefrina,R01AA14 - Epinefrina
4109,R01AB,R01AB,"R01AB - Simpaticomiméticos, combinaciones excluyendo corticosteroides","R01AB - Simpaticomiméticos, combinaciones excluyendo corticosteroides"
4110,R01AB01,R01AB01,R01AB01 - Fenilefrina,R01AB01 - Fenilefrina
4111,R01AB02,R01AB02,R01AB02 - Nafazolina,R01AB02 - Nafazolina
4112,R01AB03,R01AB03,R01AB03 - Tetrizolina,R01AB03 - Tetrizolina
4113,R01AB05,R01AB05,R01AB05 - Efedrina,R01AB05 - Efedrina
4114,R01AB06,R01AB06,R01AB06 - Xilometazolina,R01AB06 - Xilometazolina
4115,R01AB07,R01AB07,R01AB07 - Oximetazolina,R01AB07 - Oximetazolina
4116,R01AB08,R01AB08,R01AB08 - Tuaminoheptano,R01AB08 - Tuaminoheptano
4117,R01AC,R01AC,"R01AC - Agentes antialérgicos, excluyendo corticosteroides","R01AC - Agentes antialérgicos, excluyendo corticosteroides"
4118,R01AC01,R01AC01,R01AC01 - Ácido cromoglícico,R01AC01 - Ácido cromoglícico
4119,R01AC02,R01AC02,R01AC02 - Levocabastina,R01AC02 - Levocabastina
4120,R01AC03,R01AC03,R01AC03 - Azelastina,R01AC03 - Azelastina
4121,R01AC04,R01AC04,R01AC04 - Antazolina,R01AC04 - Antazolina
4122,R01AC05,R01AC05,R01AC05 - Ácido espaglúmico,R01AC05 - Ácido espaglúmico
4123,R01AC06,R01AC06,R01AC06 - Tonzilamina,R01AC06 - Tonzilamina
4124,R01AC07,R01AC07,R01AC07 - NedocromilO,R01AC07 - NedocromilO
4125,R01AC51,R01AC51,"R01AC51 - Ácido cromoglícico, combinaciones con","R01AC51 - Ácido cromoglícico, combinaciones con"
4126,R01AD,R01AD,R01AD - Corticosteroides,R01AD - Corticosteroides
4127,R01AD01,R01AD01,R01AD01 - Beclometasona,R01AD01 - Beclometasona
4128,R01AD02,R01AD02,R01AD02 - Prednisolona,R01AD02 - Prednisolona
4129,R01AD03,R01AD03,R01AD03 - Dexametasona,R01AD03 - Dexametasona
4130,R01AD04,R01AD04,R01AD04 - Flunisolida,R01AD04 - Flunisolida
4131,R01AD05,R01AD05,R01AD05 - Budesonida,R01AD05 - Budesonida
4132,R01AD06,R01AD06,R01AD06 - Betametasona,R01AD06 - Betametasona
4133,R01AD07,R01AD07,R01AD07 - Tixocortol,R01AD07 - Tixocortol
4134,R01AD08,R01AD08,R01AD08 - Fluticasona,R01AD08 - Fluticasona
4135,R01AD09,R01AD09,R01AD09 - Mometasona,R01AD09 - Mometasona
4136,R01AD11,R01AD11,R01AD11 - Triamcinolona,R01AD11 - Triamcinolona
4137,R01AD52,R01AD52,"R01AD52 - Prednisolona, combinaciones con","R01AD52 - Prednisolona, combinaciones con"
4138,R01AD53,R01AD53,"R01AD53 - Dexametasona, combinaciones con","R01AD53 - Dexametasona, combinaciones con"
4139,R01AD57,R01AD57,"R01AD57 - Tixocortol, combinaciones con","R01AD57 - Tixocortol, combinaciones con"
4140,R01AD60,R01AD60,"R01AD60 - Hidrocortisona, combinaciones con","R01AD60 - Hidrocortisona, combinaciones con"
4141,R01AX,R01AX,R01AX - Otros preparados nasales,R01AX - Otros preparados nasales
4142,R01AX01,R01AX01,R01AX01 - Tiocianato de hexamida y calcio,R01AX01 - Tiocianato de hexamida y calcio
4143,R01AX02,R01AX02,R01AX02 - Retinol,R01AX02 - Retinol
4144,R01AX03,R01AX03,"R01AX03 - Ipratropio, bromuro de","R01AX03 - Ipratropio, bromuro de"
4145,R01AX05,R01AX05,R01AX05 - Ritiometán,R01AX05 - Ritiometán
4146,R01AX06,R01AX06,R01AX06 - Mupirocina,R01AX06 - Mupirocina
4147,R01AX07,R01AX07,R01AX07 - Hexamidina,R01AX07 - Hexamidina
4148,R01AX08,R01AX08,R01AX08 - Framicetina,R01AX08 - Framicetina
4149,R01AX10,R01AX10,R01AX10 - Varios,R01AX10 - Varios
4150,R01AX30,R01AX30,R01AX30 - Combinaciones,R01AX30 - Combinaciones
4151,R01B,R01B,R01B - DESCONGESTIVOS NASALES PARA USO SISTÉMICO,R01B - DESCONGESTIVOS NASALES PARA USO SISTÉMICO
4152,R01BA,R01BA,R01BA - Simpaticomiméticos,R01BA - Simpaticomiméticos
4153,R01BA01,R01BA01,R01BA01 - Fenilpropanolamina,R01BA01 - Fenilpropanolamina
4154,R01BA02,R01BA02,R01BA02 - Pseudoefedrina,R01BA02 - Pseudoefedrina
4155,R01BA03,R01BA03,R01BA03 - Fenilefrina,R01BA03 - Fenilefrina
4156,R01BA51,R01BA51,"R01BA51 - Fenilpropanolamina, combinaciones con","R01BA51 - Fenilpropanolamina, combinaciones con"
4157,R01BA52,R01BA52,"R01BA52 - Pseudoefedrina, combinaciones con","R01BA52 - Pseudoefedrina, combinaciones con"
4158,R01BA53,R01BA53,"R01BA53 - Fenilefrina, combinaciones con","R01BA53 - Fenilefrina, combinaciones con"
4159,R02,R02,R02 - PREPARADOS PARA LA GARGANTA,R02 - PREPARADOS PARA LA GARGANTA
4160,R02A,R02A,R02A - PREPARADOS PARA LA GARGANTA,R02A - PREPARADOS PARA LA GARGANTA
4161,R02AA,R02AA,R02AA - Antisépticos,R02AA - Antisépticos
4162,R02AA01,R02AA01,R02AA01 - Ambazona,R02AA01 - Ambazona
4163,R02AA02,R02AA02,"R02AA02 - Decualinio, cloruro de","R02AA02 - Decualinio, cloruro de"
4164,R02AA03,R02AA03,R02AA03 - Alcohol diclorobencílico,R02AA03 - Alcohol diclorobencílico
4165,R02AA05,R02AA05,R02AA05 - Clorhexidina,R02AA05 - Clorhexidina
4166,R02AA06,R02AA06,"R02AA06 - Cetilpiridinio, cloruro de","R02AA06 - Cetilpiridinio, cloruro de"
4167,R02AA09,R02AA09,"R02AA09 - Bencetonio, cloruro de","R02AA09 - Bencetonio, cloruro de"
4168,R02AA10,R02AA10,"R02AA10 - Benzalconio, miristilato de","R02AA10 - Benzalconio, miristilato de"
4169,R02AA11,R02AA11,R02AA11 - Clorquinaldol,R02AA11 - Clorquinaldol
4170,R02AA12,R02AA12,R02AA12 - Hexilresorcinol,R02AA12 - Hexilresorcinol
4171,R02AA13,R02AA13,"R02AA13 - Acriflavinio, cloruro de","R02AA13 - Acriflavinio, cloruro de"
4172,R02AA14,R02AA14,R02AA14 - Oxiquinolina,R02AA14 - Oxiquinolina
4173,R02AA15,R02AA15,R02AA15 - Povidona iodada,R02AA15 - Povidona iodada
4174,R02AA16,R02AA16,"R02AA16 - Benzalconio, cloruro de","R02AA16 - Benzalconio, cloruro de"
4175,R02AA17,R02AA17,"R02AA17 - Cetrimonio, bromuro de","R02AA17 - Cetrimonio, bromuro de"
4176,R02AA18,R02AA18,R02AA18 - Hexamidina,R02AA18 - Hexamidina
4177,R02AA19,R02AA19,R02AA19 - Fenol,R02AA19 - Fenol
4178,R02AA20,R02AA20,R02AA20 - Varios,R02AA20 - Varios
4179,R02AB,R02AB,R02AB - Antibióticos,R02AB - Antibióticos
4180,R02AB01,R02AB01,R02AB01 - Neomicina,R02AB01 - Neomicina
4181,R02AB02,R02AB02,R02AB02 - Tirotricina,R02AB02 - Tirotricina
4182,R02AB03,R02AB03,R02AB03 - Fusafungina,R02AB03 - Fusafungina
4183,R02AB04,R02AB04,R02AB04 - Bacitracina,R02AB04 - Bacitracina
4184,R02AB30,R02AB30,R02AB30 - Gramicidina,R02AB30 - Gramicidina
4185,R02AD,R02AD,R02AD - Anestésicos locales,R02AD - Anestésicos locales
4186,R02AD01,R02AD01,R02AD01 - Benzocaína,R02AD01 - Benzocaína
4187,R02AD02,R02AD02,R02AD02 - Lidocaína,R02AD02 - Lidocaína
4188,R02AD03,R02AD03,R02AD03 - Cocaína,R02AD03 - Cocaína
4189,R02AD04,R02AD04,R02AD04 - Diclonina,R02AD04 - Diclonina
4190,R03,R03,R03 - AGENTES CONTRA PADECIMIENTOS OBSTRUCTIVOS DE LAS VÍAS RESPIRATORIAS,R03 - AGENTES CONTRA PADECIMIENTOS OBSTRUCTIVOS DE LAS VÍAS RESPIRATORIAS
4191,R03A,R03A,"R03A - ADRENÉRGICOS, INHALATORIOS","R03A - ADRENÉRGICOS, INHALATORIOS"
4192,R03AA,R03AA,R03AA - Agonistas de receptores adrenérgicos alfa y beta,R03AA - Agonistas de receptores adrenérgicos alfa y beta
4193,R03AA01,R03AA01,R03AA01 - Epinefrina,R03AA01 - Epinefrina
4194,R03AB,R03AB,R03AB - Agonistas de receptores beta-adrenérgicos no selectivos,R03AB - Agonistas de receptores beta-adrenérgicos no selectivos
4195,R03AB02,R03AB02,R03AB02 - Isoprenalina,R03AB02 - Isoprenalina
4196,R03AB03,R03AB03,R03AB03 - Orciprenalina,R03AB03 - Orciprenalina
4197,R03AC,R03AC,R03AC - Agonistas selectivos de receptores beta-2 adrenérgicos,R03AC - Agonistas selectivos de receptores beta-2 adrenérgicos
4198,R03AC02,R03AC02,R03AC02 - Salbutamol,R03AC02 - Salbutamol
4199,R03AC03,R03AC03,R03AC03 - Terbutalina,R03AC03 - Terbutalina
